Channel,Date,Start time,Film Code,Break Code,Advertiser,Brand,Agency,Holding Company,BARB Prog Before,BARB Prog After,Sales House,Major category,Mid category,Minor category,All PIB rel,All PIB pos,Log Station (2010-),Impacts A4+
ITV1 HD,26/03/2024,13:24:42,BURTMDO519030,EB,Mcdonalds restaurant,Mcdonalds chicken mccrispy deluxe,Omd group limited,Mcdonalds restaurant,LOOSE WOMEN,ITV LUNCHTIME NEWS,ITV SALES,Entertainment & leisure,Restaurants & bars,Fast food restaurants - food items,First,1,ITV1 HD London Carlton,47
ITV1 HD,26/03/2024,13:25:12,TTBSNDL110020,EB,Sanofi aventis uk ho,Aventis pharma dulcolax,Hearts & science lim,Sanofi aventis uk ho,LOOSE WOMEN,ITV LUNCHTIME NEWS,ITV SALES,Health & wellbeing,Medication,Laxatives,2nd,2,ITV1 HD London Carlton,34
ITV1 HD,26/03/2024,13:25:32,PGOLENR015030,EB,Procter & gamble uk,Lenor fabric softener,Starcom worldwide li,Procter & gamble uk,LOOSE WOMEN,ITV LUNCHTIME NEWS,ITV SALES,Household fmcg,Laundry,Fabric softeners/conditioners,3rd,3,ITV1 HD London Carlton,34
ITV1 HD,26/03/2024,13:26:02,DESLVCA376030,EB,Liverpool victoria f,Liverpool victoria motor insurance,Mindshare media uk l,Liverpool victoria f,LOOSE WOMEN,ITV LUNCHTIME NEWS,ITV SALES,Finance,General insurance,Car insurance,Middle,4,ITV1 HD London Carlton,34
ITV1 HD,26/03/2024,13:26:32,MCZVAXV091030,EB,Vax,Vax platinum smartwash carpet clean,Mccann erickson cent,Cardinal internation,LOOSE WOMEN,ITV LUNCHTIME NEWS,ITV SALES,Electronics, household appliances & tech",Small appliances - home,Corded vacuum cleaners,Middle,5,ITV1 HD London Carlton,34
ITV1 HD,26/03/2024,13:27:02,WPPEMMA315010,EB,Emma mattress,Emma mattress,Medialab group limit,Bettzeit,LOOSE WOMEN,ITV LUNCHTIME NEWS,ITV SALES,Household equipment & diy,Furniture & fittings,Beds & mattresses,3rd last,6,ITV1 HD London Carlton,28
ITV1 HD,26/03/2024,13:27:12,BUCPGOM006030,EB,Procter & gamble uk,Seven seas omega 3 & multivitamins,Starcom worldwide li,Procter & gamble uk,LOOSE WOMEN,ITV LUNCHTIME NEWS,ITV SALES,Health & wellbeing,Medication,Vitamins & tonics,2nd last,7,ITV1 HD London Carlton,28
ITV1 HD,26/03/2024,13:27:42,ANOCRUK414030,EB,Cancer research uk,Cancer research race for life,Essencemediacom hold,Cancer research uk,LOOSE WOMEN,ITV LUNCHTIME NEWS,ITV SALES,Government social political organisation,Charities,Cancer charities,Last,8,ITV1 HD London Carlton,28
ITV1 HD,26/03/2024,13:52:05,BBHTCPT536010,CB,Tesco stores,Tesco easter,Essencemediacom hold,Tesco,ITV LUNCHTIME NEWS,ITV LUNCHTIME NEWS,ITV SALES,Food,Food brand building,Food & drink - multi product,First,1,ITV1 HD London Carlton,45
ITV1 HD,26/03/2024,13:52:15,MUMKNLU330030,CB,Kentucky fried chick,Kfc lunch meal deal,Mindshare media uk l,Yum restaurant holdi,ITV LUNCHTIME NEWS,ITV LUNCHTIME NEWS,ITV SALES,Entertainment & leisure,Restaurants & bars,Fast food restaurants - multi product,2nd,2,ITV1 HD London Carlton,45
ITV1 HD,26/03/2024,13:52:45,AEDMCMC122030,CB,Mccain foods gb,Mccain chips,Phd media limited,Mccain foods gb,ITV LUNCHTIME NEWS,ITV LUNCHTIME NEWS,ITV SALES,Food,Food brand building,Food - brand building,3rd,3,ITV1 HD London Carlton,45
ITV1 HD,26/03/2024,13:53:15,QSTOTBE279030,CB,On the beach,Onthebeach.co.uk,Goodstuff communicat,Inflexion private eq,ITV LUNCHTIME NEWS,ITV LUNCHTIME NEWS,ITV SALES,Travel & transport,Travel agents,Travel agents,Middle,4,ITV1 HD London Carlton,34
ITV1 HD,26/03/2024,13:53:45,NCAALZH038060,CB,Alzheimers society,Alzheimers society,Medialab group limit,Alzheimers society,ITV LUNCHTIME NEWS,ITV LUNCHTIME NEWS,ITV SALES,Government social political organisation,Charities,Health charities,3rd last,5,ITV1 HD London Carlton,34
ITV1 HD,26/03/2024,13:54:45,EDNWDRN004030,CB,Walt disney company,Disney plus renegade nell,Zenith uk media limi,Walt disney company,ITV LUNCHTIME NEWS,ITV LUNCHTIME NEWS,ITV SALES,Entertainment & leisure,Home entertainment,Film/programme downloads/streaming,2nd last,6,ITV1 HD London Carlton,37
ITV1 HD,26/03/2024,13:55:15,TAGDDGB048020,CB,Unilever uk home & p,Dove anti perspirant deodorant,Mindshare media uk l,Unilever,ITV LUNCHTIME NEWS,ITV LUNCHTIME NEWS,ITV SALES,Cosmetics & personal care,Anti perspirant & deodorant,Anti perspirant & deodorant - womens,Last,7,ITV1 HD London Carlton,38
ITV1 HD,26/03/2024,14:08:35,RBRHIES236030,CB,Hillarys blinds,Hillarys blinds,Essencemediacom nort,Bellotto holdings,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Retail,Household,Furniture & furnishings,First,1,ITV1 HD London Carlton,11
ITV1 HD,26/03/2024,14:09:05,BBHBBPR820030,CB,Barclays bank,Barclays lifeskills programme,Omd group limited,Barclays bank,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Finance,Brand building/services,Finance brand building,2nd,2,ITV1 HD London Carlton,11
ITV1 HD,26/03/2024,14:09:35,AORAODL251030,CB,Ao retail,Appliancesonline.co.uk,Dentsu manchester li,Ao world,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Electronics, household appliances & tech",Electronics & home appl - brand building,Electronics & home applianc - multi prod,3rd,3,ITV1 HD London Carlton,11
ITV1 HD,26/03/2024,14:10:05,WPPEMMA316010,CB,Emma mattress,Emma mattress,Medialab group limit,Bettzeit,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Household equipment & diy,Furniture & fittings,Beds & mattresses,3rd last,4,ITV1 HD London Carlton,17
ITV1 HD,26/03/2024,14:10:15,LBEDISN002020,CB,Walt disney company,Disneyland paris,Zenith uk media limi,Walt disney company,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Travel & transport,Holidays/overseas,Overseas resorts,2nd last,5,ITV1 HD London Carlton,17
ITV1 HD,26/03/2024,14:10:35,MLLDHSC299030,CB,Ccs,Ccs phe stop smoking,Manning gottlieb omd,Ccs,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Business & industrial,Health & social,Doctors/hospitals,Last,6,ITV1 HD London Carlton,17
ITV1 HD,26/03/2024,14:20:27,AMVSETP244030,CB,Smart energy gb,Smart energy smart meters,T&p media limited,Smart energy gb,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Business & industrial,Utilities residential,Residential combined utilities,First,1,ITV1 HD London Carlton,11
ITV1 HD,26/03/2024,14:20:57,HKXGADA032020,CB,Reckitt benckiser,Gaviscon double action,Zenith uk media limi,Reckitt benckiser,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Health & wellbeing,Medication,Indigestion remedies,2nd,2,ITV1 HD London Carlton,11
ITV1 HD,26/03/2024,14:21:17,HWFTRLF002030,CB,Trailfinders,Trailfinders travel experts,Media campaign limit,Trailfinders,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Travel & transport,Holidays/overseas,Overseas tour operators,3rd,3,ITV1 HD London Carlton,11
ITV1 HD,26/03/2024,14:21:47,ITCITVW001030,CB,Itv,Itv competitions portal,Itv network limited,Itv,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Business & industrial,Business,Promo prods/incentives/competitions,Middle,4,ITV1 HD London Carlton,11
ITV1 HD,26/03/2024,14:22:17,DVNPLMF020030,CB,Poundland,Poundland stores,Notorious communicat,Poundland holdings,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Retail,Retail general,Other retail,3rd last,5,ITV1 HD London Carlton,11
ITV1 HD,26/03/2024,14:22:47,PCHPPGP001010,CB,Consorzio tutela gra,Consorzio grana padano cheese,Consorzio per la tut,Consorzio per la tut,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Food,Dairy,Cheese - continental,2nd last,6,ITV1 HD London Carlton,11
ITV1 HD,26/03/2024,14:22:57,CKCBRIT016020,CB,Premier foods,Bisto gravy,Dentsu uk limited,Premier foods,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Food,Food cupboard / grocery,Food cupboard/grocery - multi product,Last,7,ITV1 HD London Carlton,11
ITV1 HD,26/03/2024,14:39:56,UCSIGAV003030,CB,Avios group,Avios,Manning gottlieb omd,British airways,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Retail,Household,Loyalty/reward cards,First,1,ITV1 HD London Carlton,8
ITV1 HD,26/03/2024,14:40:26,HOMWREN073030,CB,Wren kitchens,Wren kitchens,Intermarketing agenc,Wren kitchens,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Household equipment & diy,Furniture & fittings,Furniture - kitchen,2nd,2,ITV1 HD London Carlton,8
ITV1 HD,26/03/2024,14:40:56,HKXVAVP039030,CB,Reckitt benckiser,Vanish oxi action stain remover,Zenith uk media limi,Reckitt benckiser,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Household fmcg,Laundry,Stain removers/whiteners,3rd,3,ITV1 HD London Carlton,8
ITV1 HD,26/03/2024,14:41:26,HASFCPA002030,CB,Fastcashproperty,Fast cash property,Advertising excellen,Fastcashproperty,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Property,Property services,General property services,Middle,4,ITV1 HD London Carlton,9
ITV1 HD,26/03/2024,14:41:56,CHIPEAH029030,CB,Pets at home,Pets at home,Dentsu manchester li,Pets at home group,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Household fmcg,Pet food & care,Pet food & care - multi product,3rd last,5,ITV1 HD London Carlton,9
ITV1 HD,26/03/2024,14:42:26,ANOCRUK414030,CB,Cancer research uk,Cancer research race for life,Essencemediacom hold,Cancer research uk,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Government social political organisation,Charities,Cancer charities,2nd last,6,ITV1 HD London Carlton,9
ITV1 HD,26/03/2024,14:42:56,AEDGWRW193030,CB,Great western railwa,First great western,The7stars uk limited,Firstgroup,FLETCHERS FAMILY FARM RPT,FLETCHERS FAMILY FARM RPT,ITV SALES,Travel & transport,Land,Railways,Last,7,ITV1 HD London Carlton,9
ITV1 HD,26/03/2024,14:56:35,HHPSLPL129030,EB,Axa sun life,Axa sun life over 50 ins plan,Medialab group limit,Axa uk,FLETCHERS FAMILY FARM RPT,WINNING COMBINATION RPT,ITV SALES,Finance,Life protection,Life protection - over 50,First,1,ITV1 HD London Carlton,8
ITV1 HD,26/03/2024,14:57:05,MCMHSLC407030,EB,High seat,Hsl chairs,Mccann manchester li,High seat,FLETCHERS FAMILY FARM RPT,WINNING COMBINATION RPT,ITV SALES,Household equipment & diy,Furniture & fittings,Furniture - range,2nd,2,ITV1 HD London Carlton,10
ITV1 HD,26/03/2024,14:57:35,MCBYEOV094030,EB,Yeo valley farms,Yeo valley organic,Fridays at nine ltd,Yeo valley farms,FLETCHERS FAMILY FARM RPT,WINNING COMBINATION RPT,ITV SALES,Food,Dairy,Dairy - multi product,Last,3,ITV1 HD London Carlton,10
ITV1 HD,26/03/2024,15:10:45,TMWOFLT014010,CB,Oak furnitureland,Oakfurnitureland.co.uk,Dentsu manchester li,Oak furnitureland ho,WINNING COMBINATION RPT,WINNING COMBINATION RPT,ITV SALES,Retail,Household,Furniture & furnishings,First,1,ITV1 HD London Carlton,23
ITV1 HD,26/03/2024,15:10:55,WPNALIL049060,CB,Age uk,Age uk weekly lottery,Medialab group limit,Age uk,WINNING COMBINATION RPT,WINNING COMBINATION RPT,ITV SALES,Entertainment & leisure,Gambling,Lottery,2nd,2,ITV1 HD London Carlton,23
ITV1 HD,26/03/2024,15:11:55,WPPEMMA310020,CB,Emma mattress,Emma mattress,Medialab group limit,Bettzeit,WINNING COMBINATION RPT,WINNING COMBINATION RPT,ITV SALES,Household equipment & diy,Furniture & fittings,Beds & mattresses,Last,3,ITV1 HD London Carlton,17
ITV1 HD,26/03/2024,15:22:04,SKYPPTB001030,CB,Sky uk,Sky cinema,Essencemediacom hold,Sky uk,WINNING COMBINATION RPT,WINNING COMBINATION RPT,ITV SALES,Telecoms,Fixed line services,Telecoms tv services,First,1,ITV1 HD London Carlton,25
ITV1 HD,26/03/2024,15:22:34,HOGDELV071030,CB,Roofoods,Deliveroo takeaway delivery,Mediabrands limited,Roofoods,WINNING COMBINATION RPT,WINNING COMBINATION RPT,ITV SALES,Entertainment & leisure,Restaurants & bars,Delivery partners,2nd,2,ITV1 HD London Carlton,25
ITV1 HD,26/03/2024,15:23:04,TBMMPMS461030,CB,Merlin entertainment,Merlin annual pass,Wavemaker limited,Merlin entertainment,WINNING COMBINATION RPT,WINNING COMBINATION RPT,ITV SALES,Entertainment & leisure,Leisure activities,Theme parks,3rd,3,ITV1 HD London Carlton,21
ITV1 HD,26/03/2024,15:23:34,MCZVAXV092090,CB,Vax,Vax platinum smartwash carpet clean,Mccann erickson cent,Cardinal internation,WINNING COMBINATION RPT,WINNING COMBINATION RPT,ITV SALES,Electronics, household appliances & tech",Small appliances - home,Corded vacuum cleaners,3rd last,4,ITV1 HD London Carlton,21
ITV1 HD,26/03/2024,15:25:04,WPPEMMA317010,CB,Emma mattress,Emma mattress,Medialab group limit,Bettzeit,WINNING COMBINATION RPT,WINNING COMBINATION RPT,ITV SALES,Household equipment & diy,Furniture & fittings,Beds & mattresses,2nd last,5,ITV1 HD London Carlton,13
ITV1 HD,26/03/2024,15:25:14,HOGBONS764020,CB,Boots company,Boots no 7 skincare serum,Essencemediacom hold,Boots company,WINNING COMBINATION RPT,WINNING COMBINATION RPT,ITV SALES,Cosmetics & personal care,Skincare,Skin serum,Last,6,ITV1 HD London Carlton,13
ITV1 HD,26/03/2024,15:41:23,AMVSEGA227020,CB,Smart energy gb,Smart energy smart meters,T&p media limited,Smart energy gb,WINNING COMBINATION RPT,WINNING COMBINATION RPT,ITV SALES,Business & industrial,Utilities residential,Residential combined utilities,First,1,ITV1 HD London Carlton,8
ITV1 HD,26/03/2024,15:41:43,CWWGARN248020,CB,Loreal uk,Loreal garnier skinactive vitamin c,Essence global limit,Loreal uk,WINNING COMBINATION RPT,WINNING COMBINATION RPT,ITV SALES,Cosmetics & personal care,Skincare,Skin serum,2nd,2,ITV1 HD London Carlton,8
ITV1 HD,26/03/2024,15:42:03,SSCEEDR032030,CB,Everything everywher,Ee broadband,Essence global limit,Everything everywher,WINNING COMBINATION RPT,WINNING COMBINATION RPT,ITV SALES,Telecoms,Fixed line services,Home broadband,3rd,3,ITV1 HD London Carlton,17
ITV1 HD,26/03/2024,15:42:33,ATGBKCL135030,CB,Actegy,Actegy revitive circulation booster,Medialab group limit,Actegy,WINNING COMBINATION RPT,WINNING COMBINATION RPT,ITV SALES,Health & wellbeing,Health & fitness,Health & fitness appliances,Middle,4,ITV1 HD London Carlton,17
ITV1 HD,26/03/2024,15:43:03,MCEJEAT398020,CB,Just eat.co.uk,Justeat.co.uk,Um,Just eat holding,WINNING COMBINATION RPT,WINNING COMBINATION RPT,ITV SALES,Entertainment & leisure,Restaurants & bars,Delivery partners,Middle,5,ITV1 HD London Carlton,17
ITV1 HD,26/03/2024,15:43:23,UCSBQBR010020,CB,B & q,B&q value,Dentsu uk limited,Kingfisher,WINNING COMBINATION RPT,WINNING COMBINATION RPT,ITV SALES,Retail,Household,Diy stores,3rd last,6,ITV1 HD London Carlton,17
ITV1 HD,26/03/2024,15:43:43,BYTEBAY006030,CB,Ebay,Ebay online trading,Essencemediacom hold,Ebay,WINNING COMBINATION RPT,WINNING COMBINATION RPT,ITV SALES,Online retail,Online/internet retail general,Online shopping general,2nd last,7,ITV1 HD London Carlton,17
ITV1 HD,26/03/2024,15:44:13,DTVGOWI001040,CB,Great ormond street,Great ormond street hospital,Medialab group limit,Great ormond street,WINNING COMBINATION RPT,WINNING COMBINATION RPT,ITV SALES,Entertainment & leisure,Gambling,Lottery,Last,8,ITV1 HD London Carlton,17
ITV1 HD,26/03/2024,15:54:31,CHIMADO002020,EB,Mars uk,Dolmio bolognese sauce,Essencemediacom hold,Mars uk,WINNING COMBINATION RPT,TIPPING POINT RPT,ITV SALES,Food,Food cupboard / grocery,Cooking sauces,First,1,ITV1 HD London Carlton,22
ITV1 HD,26/03/2024,15:54:51,LBEDISN004020,EB,Walt disney company,Disneyland paris,Zenith uk media limi,Walt disney company,WINNING COMBINATION RPT,TIPPING POINT RPT,ITV SALES,Travel & transport,Holidays/overseas,Overseas resorts,2nd,2,ITV1 HD London Carlton,22
ITV1 HD,26/03/2024,15:55:11,VCCVMDR130020,EB,Virgin media,Virgin media broadband,Manning gottlieb omd,Virgin group,WINNING COMBINATION RPT,TIPPING POINT RPT,ITV SALES,Telecoms,Fixed line services,Home broadband,3rd,3,ITV1 HD London Carlton,22
ITV1 HD,26/03/2024,15:55:31,TTBGSVO075020,EB,Haleon uk,Voltarol pain relief,Spark foundry,Glaxosmithkline,WINNING COMBINATION RPT,TIPPING POINT RPT,ITV SALES,Health & wellbeing,Medication,Muscular & rheumatic remedies,Middle,4,ITV1 HD London Carlton,22
ITV1 HD,26/03/2024,15:55:51,MUMGOSS285030,EB,Gousto,Gousto.co.uk ingredients delivery,The7stars uk limited,Sca investments,WINNING COMBINATION RPT,TIPPING POINT RPT,ITV SALES,Food,Food brand building,Food - multi product,Middle,5,ITV1 HD London Carlton,22
ITV1 HD,26/03/2024,15:56:21,MCZVAXV094060,EB,Vax,Vax spotwash home duo cleaner,Mccann erickson cent,Cardinal internation,WINNING COMBINATION RPT,TIPPING POINT RPT,ITV SALES,Electronics, household appliances & tech",Small appliances - home,Corded vacuum cleaners,3rd last,6,ITV1 HD London Carlton,22
ITV1 HD,26/03/2024,15:57:21,PCHPPGP002010,EB,Consorzio tutela gra,Consorzio grana padano cheese,Consorzio per la tut,Consorzio per la tut,WINNING COMBINATION RPT,TIPPING POINT RPT,ITV SALES,Food,Dairy,Cheese - continental,2nd last,7,ITV1 HD London Carlton,22
ITV1 HD,26/03/2024,15:57:31,VCCCOMP758030,EB,Bisl,Comparethemarket.com,Omd group limited,Bgl group,WINNING COMBINATION RPT,TIPPING POINT RPT,ITV SALES,Finance,General insurance,Home & motor insurance,Last,8,ITV1 HD London Carlton,22
ITV1 HD,26/03/2024,16:11:29,OGYDULX002020,CB,I c i paints,Dulux colour,Essencemediacom hold,Imperial chemical in,TIPPING POINT RPT,TIPPING POINT RPT,ITV SALES,Household equipment & diy,House expansion & diy,Paints,First,1,ITV1 HD London Carlton,58
ITV1 HD,26/03/2024,16:11:49,TTBDGCH001030,CB,Frieslandcampina,Chocomel milk drink,Wavemaker limited,Frieslandcampina,TIPPING POINT RPT,TIPPING POINT RPT,ITV SALES,Drink,Soft drinks,Milk drinks,2nd,2,ITV1 HD London Carlton,58
ITV1 HD,26/03/2024,16:12:19,TBMMPHY459030,CB,Merlin entertainment,Merlin annual pass,Wavemaker limited,Merlin entertainment,TIPPING POINT RPT,TIPPING POINT RPT,ITV SALES,Entertainment & leisure,Leisure activities,Theme parks,3rd,3,ITV1 HD London Carlton,62
ITV1 HD,26/03/2024,16:12:49,AEDUNPN377010,CB,Unilever bestfoods,Pot noodle,Mindshare media uk l,Unilever,TIPPING POINT RPT,TIPPING POINT RPT,ITV SALES,Food,Food cupboard / grocery,Instant snack pasta/rice/noodles,Last,4,ITV1 HD London Carlton,62
ITV1 HD,26/03/2024,16:23:53,MCPSTVO007060,CB,Save the children fu,Save the children fund,Medialab group limit,Save the children fu,TIPPING POINT RPT,TIPPING POINT RPT,ITV SALES,Government social political organisation,Charities,Children charities,First,1,ITV1 HD London Carlton,75
ITV1 HD,26/03/2024,16:24:53,BURTMOR079020,CB,William morrison sup,Morrisons supermarket,Wavemaker limited,William morrison sup,TIPPING POINT RPT,TIPPING POINT RPT,ITV SALES,Food,Bakery,Hot cross buns,2nd,2,ITV1 HD London Carlton,77
ITV1 HD,26/03/2024,16:25:13,PGOGILE018030,CB,Procter & gamble uk,Gillette labs razor & shave gel,Starcom worldwide li,Procter & gamble uk,TIPPING POINT RPT,TIPPING POINT RPT,ITV SALES,Cosmetics & personal care,Hair removal,Razors - manual,3rd,3,ITV1 HD London Carlton,77
ITV1 HD,26/03/2024,16:25:43,BRITOTR077020,CB,Storck uk,Toffifee,Havas media,Storck uk,TIPPING POINT RPT,TIPPING POINT RPT,ITV SALES,Food,Confectionery & snacks,Chocolate - boxed/tinned,Middle,4,ITV1 HD London Carlton,77
ITV1 HD,26/03/2024,16:26:03,QSTOTBE279030,CB,On the beach,Onthebeach.co.uk,Goodstuff communicat,Inflexion private eq,TIPPING POINT RPT,TIPPING POINT RPT,ITV SALES,Travel & transport,Travel agents,Travel agents,3rd last,5,ITV1 HD London Carlton,77
ITV1 HD,26/03/2024,16:26:33,HASFCPA002030,CB,Fastcashproperty,Fast cash property,Advertising excellen,Fastcashproperty,TIPPING POINT RPT,TIPPING POINT RPT,ITV SALES,Property,Property services,General property services,2nd last,6,ITV1 HD London Carlton,77
ITV1 HD,26/03/2024,16:27:03,HOGBOSP779020,CB,Boots company,Boots cosmetics,Essencemediacom hold,Boots company,TIPPING POINT RPT,TIPPING POINT RPT,ITV SALES,Retail,Retail general,Chemists,Last,7,ITV1 HD London Carlton,77
ITV1 HD,26/03/2024,16:37:17,HKXDETE141030,CB,Ccs,Ccs childcare careers,Manning gottlieb omd,Ccs,TIPPING POINT RPT,TIPPING POINT RPT,ITV SALES,Business & industrial,Business,Company & agency recruitment,First,1,ITV1 HD London Carlton,92
ITV1 HD,26/03/2024,16:37:47,VCCCOMP759030,CB,Bisl,Comparethemarket.com,Omd group limited,Bgl group,TIPPING POINT RPT,TIPPING POINT RPT,ITV SALES,Finance,General insurance,Home & motor insurance,2nd,2,ITV1 HD London Carlton,92
ITV1 HD,26/03/2024,16:38:17,MCZVAXV089020,CB,Vax,Vax cordless blade vacuum cleaner,Mccann erickson cent,Cardinal internation,TIPPING POINT RPT,TIPPING POINT RPT,ITV SALES,Electronics, household appliances & tech",Small appliances - home,Cordless vacuum cleaners,3rd,3,ITV1 HD London Carlton,92
ITV1 HD,26/03/2024,16:38:37,MUMKNVA321010,CB,Kentucky fried chick,Kfc original recipe deal,Mindshare media uk l,Yum restaurant holdi,TIPPING POINT RPT,TIPPING POINT RPT,ITV SALES,Entertainment & leisure,Restaurants & bars,Fast food restaurants - multi product,Middle,4,ITV1 HD London Carlton,92
ITV1 HD,26/03/2024,16:38:47,LIPWARB002060,CB,Warburtons,Warburtons bread,Mindshare media uk l,Warburtons,TIPPING POINT RPT,TIPPING POINT RPT,ITV SALES,Food,Bakery,Bread,3rd last,5,ITV1 HD London Carlton,92
ITV1 HD,26/03/2024,16:39:47,ANOCRUK414030,CB,Cancer research uk,Cancer research race for life,Essencemediacom hold,Cancer research uk,TIPPING POINT RPT,TIPPING POINT RPT,ITV SALES,Government social political organisation,Charities,Cancer charities,2nd last,6,ITV1 HD London Carlton,97
ITV1 HD,26/03/2024,16:40:17,DVNPLMF020030,CB,Poundland,Poundland stores,Notorious communicat,Poundland holdings,TIPPING POINT RPT,TIPPING POINT RPT,ITV SALES,Retail,Retail general,Other retail,Last,7,ITV1 HD London Carlton,98
ITV1 HD,26/03/2024,16:56:26,VCCCOMP760030,EB,Bisl,Comparethemarket.com,Omd group limited,Bgl group,TIPPING POINT RPT,THE CHASE RPT,ITV SALES,Finance,General insurance,Home & motor insurance,First,1,ITV1 HD London Carlton,108
ITV1 HD,26/03/2024,16:56:56,ANOANCY154030,EB,Ancestry.com uk,Ancestry.co.uk,Starcom worldwide li,Generations network,TIPPING POINT RPT,THE CHASE RPT,ITV SALES,Computers,Computing services,Internet services including isps,2nd,2,ITV1 HD London Carlton,108
ITV1 HD,26/03/2024,16:57:26,SSCEEDR028030,EB,Everything everywher,Ee sim only,Essence global limit,Everything everywher,TIPPING POINT RPT,THE CHASE RPT,ITV SALES,Telecoms,Personal mobile networks & services,Mobile pay monthly - sim only,3rd,3,ITV1 HD London Carlton,100
ITV1 HD,26/03/2024,16:57:56,CPBMARI008060,EB,Marie curie cancer c,Marie curie cancer care,Medialab group limit,Marie curie cancer c,TIPPING POINT RPT,THE CHASE RPT,ITV SALES,Government social political organisation,Charities,Cancer charities,2nd last,4,ITV1 HD London Carlton,100
ITV1 HD,26/03/2024,16:58:56,AEDVEPW065060,EB,Vegpower,Vegetable power awareness,Goodstuff communicat,Vegpower,TIPPING POINT RPT,THE CHASE RPT,ITV SALES,Media,Media - brand building,Media - brand building,Last,5,ITV1 HD London Carlton,93
ITV1 HD,26/03/2024,17:20:02,LMIMTWY002010,CB,Motorway online,Motorway.co.uk,Manning gottlieb omd,Motorway online,THE CHASE RPT,THE CHASE RPT,ITV SALES,Automotive,Automotive - retailer,Automotive marketplace,First,1,ITV1 HD London Carlton,160
ITV1 HD,26/03/2024,17:20:12,MTCFAGE003020,CB,Fage uk,Total greek yoghurt,T&p media limited,Fage uk,THE CHASE RPT,THE CHASE RPT,ITV SALES,Food,Dairy,Yogurt - natural/greek,2nd,2,ITV1 HD London Carlton,160
ITV1 HD,26/03/2024,17:20:32,BEMMSEA214030,CB,Marks & spencer,Marks & spencer easter,Mindshare media uk l,Marks & spencer,THE CHASE RPT,THE CHASE RPT,ITV SALES,Food,Bakery,Hot cross buns,3rd,3,ITV1 HD London Carlton,160
ITV1 HD,26/03/2024,17:21:02,MLLDHSC301030,CB,Ccs,Ccs cardiovascular disease,Manning gottlieb omd,Ccs,THE CHASE RPT,THE CHASE RPT,ITV SALES,Retail,Retail general,Chemists,Last,4,ITV1 HD London Carlton,161
ITV1 HD,26/03/2024,17:31:10,ICPEONN510020,CB,E on,E on next,Mediaplus uk london,E on,THE CHASE RPT,THE CHASE RPT,ITV SALES,Business & industrial,Utilities residential,Residential renewable energy,First,1,ITV1 HD London Carlton,168
ITV1 HD,26/03/2024,17:31:30,WCRSKNW064030,CB,Sky uk,Sky now tv,Essencemediacom hold,Sky uk,THE CHASE RPT,THE CHASE RPT,ITV SALES,Entertainment & leisure,Home entertainment,Film/programme downloads/streaming,2nd,2,ITV1 HD London Carlton,168
ITV1 HD,26/03/2024,17:32:00,VCCPEWK039020,CB,Walkers snack foods,Walkers crisps,Omd group limited,Pepsico holdings,THE CHASE RPT,THE CHASE RPT,ITV SALES,Food,Confectionery & snacks,Crisps/snacks - countlines,3rd,3,ITV1 HD London Carlton,171
ITV1 HD,26/03/2024,17:32:20,MLLDHSC301030,CB,Ccs,Ccs cardiovascular disease,Manning gottlieb omd,Ccs,THE CHASE RPT,THE CHASE RPT,ITV SALES,Retail,Retail general,Chemists,Middle,4,ITV1 HD London Carlton,171
ITV1 HD,26/03/2024,17:32:50,HOMJHOL124030,CB,Jet2,Jet2.com,Wavemaker limited,Dart group,THE CHASE RPT,THE CHASE RPT,ITV SALES,Travel & transport,Holidays/overseas,Overseas tour operators,Middle,5,ITV1 HD London Carlton,171
