Channel,Date,Start time,Film Code,Break Code,Advertiser,Brand,Agency,Holding Company,BARB Prog Before,BARB Prog After,Sales House,Major category,Mid category,Minor category,All PIB rel,All PIB pos,Log Station (2010-),Impacts A4+
ITV1 HD,26/03/2024,10:15:34,JWOCOMP020010,CB,Gocompare.com,Gocompare.com,Hearts & science lim,Gocompare.com,THIS MORNING,THIS MORNING,ITV SALES,Finance,General insurance,Car insurance,Last,8,ITV1 HD London Carlton,59
ITV1 HD,26/03/2024,10:27:29,RVETBDD127030,CB,Tombola alderney,Tombola.co.uk online bingo,Essencemediacom hold,Tombola alderney,THIS MORNING,THIS MORNING,ITV SALES,Entertainment & leisure,Gambling,Bingo,First,1,ITV1 HD London Carlton,66
ITV1 HD,26/03/2024,10:27:59,HOGULCO016020,CB,Unilever uk home & p,Comfort fabric softener,Mindshare media uk l,Unilever,THIS MORNING,THIS MORNING,ITV SALES,Household fmcg,Laundry,Fabric softeners/conditioners,2nd,2,ITV1 HD London Carlton,66
ITV1 HD,26/03/2024,10:28:19,LBEDISN002020,CB,Walt disney company,Disneyland paris,Zenith uk media limi,Walt disney company,THIS MORNING,THIS MORNING,ITV SALES,Travel & transport,Holidays/overseas,Overseas resorts,3rd,3,ITV1 HD London Carlton,64
ITV1 HD,26/03/2024,10:28:39,VCCCOMP760030,CB,Bisl,Comparethemarket.com,Omd group limited,Bgl group,THIS MORNING,THIS MORNING,ITV SALES,Finance,General insurance,Home & motor insurance,Middle,4,ITV1 HD London Carlton,64
ITV1 HD,26/03/2024,10:29:09,NCAALZH034060,CB,Alzheimers society,Alzheimers society,Medialab group limit,Alzheimers society,THIS MORNING,THIS MORNING,ITV SALES,Government social political organisation,Charities,Health charities,Middle,5,ITV1 HD London Carlton,64
ITV1 HD,26/03/2024,10:30:09,MCMHSLC407030,CB,High seat,Hsl chairs,Mccann manchester li,High seat,THIS MORNING,THIS MORNING,ITV SALES,Household equipment & diy,Furniture & fittings,Furniture - range,3rd last,6,ITV1 HD London Carlton,69
ITV1 HD,26/03/2024,10:30:39,PCHPPGP002010,CB,Consorzio tutela gra,Consorzio grana padano cheese,Consorzio per la tut,Consorzio per la tut,THIS MORNING,THIS MORNING,ITV SALES,Food,Dairy,Cheese - continental,2nd last,7,ITV1 HD London Carlton,69
ITV1 HD,26/03/2024,10:30:49,MCLDODW073010,CB,Roofoods,Deliveroo takeaway delivery,Mediabrands limited,Roofoods,THIS MORNING,THIS MORNING,ITV SALES,Entertainment & leisure,Restaurants & bars,Delivery partners,Last,8,ITV1 HD London Carlton,69
ITV1 HD,26/03/2024,10:53:13,TJUCSTT086030,CB,Itv,Itv coronation street tour,Itv network limited,Itv,THIS MORNING,THIS MORNING,ITV SALES,Entertainment & leisure,Leisure activities,Tourist attractions,First,1,ITV1 HD London Carlton,58
ITV1 HD,26/03/2024,10:53:43,DAAGOSH070060,CB,Great ormond street,Great ormond street hospital,Medialab group limit,Great ormond street,THIS MORNING,THIS MORNING,ITV SALES,Government social political organisation,Charities,Children charities,2nd,2,ITV1 HD London Carlton,58
ITV1 HD,26/03/2024,10:54:43,YOATAPI049020,CB,Tapi carpets & floor,Tapi carpets & floors,The7stars uk limited,Tapi carpets & floor,THIS MORNING,THIS MORNING,ITV SALES,Household equipment & diy,Soft furnishings,Carpets & soft floor coverings,3rd,3,ITV1 HD London Carlton,65
ITV1 HD,26/03/2024,10:55:03,TAGTOMO411030,CB,Tesco stores,Tesco mobile drtv,Essencemediacom hold,Tesco,THIS MORNING,THIS MORNING,ITV SALES,Telecoms,Personal mobile networks & services,Mobile pay monthly - sim only,Middle,4,ITV1 HD London Carlton,58
ITV1 HD,26/03/2024,10:55:33,AEDGWRW193030,CB,Great western railwa,First great western,The7stars uk limited,Firstgroup,THIS MORNING,THIS MORNING,ITV SALES,Travel & transport,Land,Railways,3rd last,5,ITV1 HD London Carlton,58
ITV1 HD,26/03/2024,10:56:03,TTBCAIF002020,CB,Interflora british u,Interflora.co.uk,Yonder media ltd,Interflora british u,THIS MORNING,THIS MORNING,ITV SALES,Retail,Retail general,Florists,2nd last,6,ITV1 HD London Carlton,58
